ObservedagentID;CounterpartyID;ContractID;InstrumentID;JointLiabilityAmount;CounterpartyRole;CounterpartyRoleEndDate
13369;6305574;PRE000000419;PRE000000419;0.00;7;
13369;6305574;PRE000000420;PRE000000420;0.00;1;
13369;6305574;PRE000000420;PRE000000420;0.00;7;
13369;6305574;PRE000000421;PRE000000421;0.00;1;
13369;6305574;PRE000000421;PRE000000421;0.00;7;
13369;6305574;PRE000000422;PRE000000422;0.00;1;
13369;6305574;PRE000000422;PRE000000422;0.00;7;
13369;6305574;PRE000000423;PRE000000423;0.00;1;
13369;6305574;PRE000000423;PRE000000423;0.00;7;
13369;6305574;PRE000000425;PRE000000425;0.00;1;
13369;6305574;PRE000000425;PRE000000425;0.00;7;
13369;6305574;PRE000000426;PRE000000426;0.00;1;2024-06-03
13369;6305574;PRE000000426;PRE000000426;0.00;7;2024-06-03
13369;6305574;PRE000000427;PRE000000427;0.00;1;
13369;6305574;PRE000000427;PRE000000427;0.00;7;
13369;6305574;PRE000000428;PRE000000428;0.00;1;
13369;6305574;PRE000000428;PRE000000428;0.00;7;
13369;6305574;PRE000000429;PRE000000429;0.00;1;
13369;6305574;PRE000000429;PRE000000429;0.00;7;
13369;6305574;PRE000000430;PRE000000430;0.00;1;
13369;6305574;PRE000000430;PRE000000430;0.00;7;
13369;6305574;PRE000000431;PRE000000431;0.00;1;
13369;6305574;PRE000000431;PRE000000431;0.00;7;
13369;6305574;PRE000000432;PRE000000432;0.00;1;
13369;6305574;PRE000000432;PRE000000432;0.00;7;
13369;6305574;PRE000000433;PRE000000433;0.00;1;
13369;6305574;PRE000000433;PRE000000433;0.00;7;
13369;6305574;PRE000000434;PRE000000434;0.00;1;2024-06-04
13369;6305574;PRE000000434;PRE000000434;0.00;7;2024-06-04
13369;6305574;PRE000000435;PRE000000435;0.00;1;2024-06-03
13369;6305574;PRE000000435;PRE000000435;0.00;7;2024-06-03
13369;6305574;PRE000000436;PRE000000436;0.00;1;2024-06-07
13369;6305574;PRE000000436;PRE000000436;0.00;7;2024-06-07
13369;6305574;PRE000000437;PRE000000437;0.00;1;2024-06-07
13369;6305574;PRE000000437;PRE000000437;0.00;7;2024-06-07
13369;6305574;PRE000000438;PRE000000438;0.00;1;2024-06-07
13369;6305574;PRE000000438;PRE000000438;0.00;7;2024-06-07
13369;6305574;PRE000000439;PRE000000439;0.00;1;2024-06-05
13369;6305574;PRE000000439;PRE000000439;0.00;7;2024-06-05
13369;6305574;PRE000000440;PRE000000440;0.00;1;2024-06-13
13369;6305574;PRE000000440;PRE000000440;0.00;7;2024-06-13
13369;6305574;PRE000000441;PRE000000441;0.00;1;
13369;6305574;PRE000000441;PRE000000441;0.00;7;
13369;6305574;PRE000000442;PRE000000442;0.00;1;2024-06-17
13369;6305574;PRE000000442;PRE000000442;0.00;7;2024-06-17
13369;6305574;PRE000000443;PRE000000443;0.00;1;2024-06-17
13369;6305574;PRE000000443;PRE000000443;0.00;7;2024-06-17
13369;6305574;PRE000000444;PRE000000444;0.00;1;
13369;6305574;PRE000000444;PRE000000444;0.00;7;
13369;6305574;PRE000000445;PRE000000445;0.00;1;
13369;6305574;PRE000000445;PRE000000445;0.00;7;
13369;6305574;PRE000000446;PRE000000446;0.00;1;2024-06-10
13369;6305574;PRE000000446;PRE000000446;0.00;7;2024-06-10
13369;6305574;PRE000000447;PRE000000447;0.00;1;
13369;6305574;PRE000000447;PRE000000447;0.00;7;
13369;6305574;PRE000000448;PRE000000448;0.00;1;2024-06-17
13369;6305574;PRE000000448;PRE000000448;0.00;7;2024-06-17
13369;6305574;PRE000000449;PRE000000449;0.00;1;
13369;6305574;PRE000000449;PRE000000449;0.00;7;
13369;6305574;PRE000000450;PRE000000450;0.00;1;
13369;6305574;PRE000000450;PRE000000450;0.00;7;
13369;6305574;PRE000000451;PRE000000451;0.00;1;
13369;6305574;PRE000000451;PRE000000451;0.00;7;
13369;6305574;PRE000000452;PRE000000452;0.00;1;
13369;6305574;PRE000000452;PRE000000452;0.00;7;
13369;6305574;PRE000000453;PRE000000453;0.00;1;
13369;6305574;PRE000000453;PRE000000453;0.00;7;
13369;6305574;PRE000000454;PRE000000454;0.00;1;
13369;6305574;PRE000000454;PRE000000454;0.00;7;
13369;6305574;PRE000000455;PRE000000455;0.00;1;
